audiocaps_id,source_audio_prompt,target_audio_prompt
105666,Bells ringing repeatedly,Deep bells tolling slowly and repeatedly
106747,"Wind and rain sounds, then a man begins to talk","Wind and rain sounds, then a man begins to talk with a distant, tinny, telephone-filtered voice"
105274,Men riding in the car talking then man burps loudly and then the other chuckles,"Men riding in a car talking, then one man clears his throat with a polite cough, and the other chuckles"
104868,Men speak and laugh with humming of an engine,Men speak and laugh with rattling of machinery
106648,A man is speaking with tapping noises and dishes being moved,A woman is speaking with tapping noises and dishes being moved
105051,Gravely sound with women voice in background,Gravelly sound with a man speaking calmly in the background
104764,Continuous basing and rustling,"Rhythmic, pulsing bass and rustling"
6223,Wind is blowing and water gurgles,"A soft, whispering breeze moves and water gurgles"
104659,Humming of a distant aircraft engine,Rumbling of a nearby propeller aircraft engine
106295,Female speech and rubbing,Female speech and scratching of fabric
106936,A woman heavily breathing then sneezing and then sniffling,"A woman heavily breathing then having a violent, uncontrolled series of sneezes and then sniffling"
104620,A man talking followed by wind blowing into a microphone while insects buzz,A man talking followed by wind blowing into a microphone while morning birds chirp
107069,A woman speaking,A woman whispering
104514,A woman speaks while a crowd talks and chuckles,A woman speaks over the distant roar of crashing ocean waves
102746,Water splashing followed by a woman speaking,"Water splashing followed by a man speaking in a low, hushed tone"
103456,A woman speaks then a small child speaks,"A woman speaks, then an adult man speaks"
103787,A person heavily breathing as wood creaks and ducks quack,A person heavily breathing as wood creaks and sparrows chirp softly
11560,A cat meows and hisses,A cat meows and growls aggressively
103170,A main is smoothly speaking over a loud faint noise,A man is smoothly whispering over a loud faint noise
104656,A man talking as metal clacks followed by metal scrapping against a metal surface,"A man's voice, filtered through an old radio, as metal clacks followed by metal scraping against a metal surface"
106531,A person belching several times as a group of people laugh,A person belching several times as a group of people chuckle politely
104445,A man talking as gusts of wind blow followed by an aircraft flying by,"A man talking as light rain falls, followed by an aircraft flying by"
104269,An engine idling with light wind,An engine accelerating and revving with light wind
106324,The voices of a man and a women talking,A man and a woman yelling angrily at each other
107227,Insects buzzing as a man speaks while birds chirp and wind blows into a microphone,Insects buzzing as a man whispers softly while birds chirp and wind blows into a microphone
103282,"A race car races, and the engine accelerates","A race car races, and its high-pitched, whining electric motor accelerates"
104679,A motor humming as wood is being scrapped and sanded,"A motor humming as wood is being scrapped and sanded in a slow, methodical rhythm"
104584,A car door opening as a crow caws and birds chirp followed by a vehicle driving by in the background,A car door opening as a crow caws and birds chirp is followed by the distinct sound of a motorcycle revving its engine and accelerating quickly into the distance
105111,A woman speaks with nearby insects buzzing,A woman speaks with a strong wind blowing through nearby trees
105170,A woman speaks with flapping wings and chirping birds,"A woman speaks with powerful, heavy wingbeats and chirping birds"
106690,A woman talking followed by a bird whistling then a person whistling,A man laughing followed by a bird whistling then a person whistling
106724,A woman speaks with chirping frogs and distant music playing,A woman speaks with chirping frogs and a soft rain shower
104953,Race cars are racing and skidding tires,"Race cars are racing and tires are making a louder, higher-pitched skid on rain-slicked asphalt"
103013,A man talking as a kid yells followed by an aircraft flying in the distance as wind blows into a microphone,A man talking as a kid laughs followed by an aircraft flying in the distance as wind blows into a microphone
105271,People are communicating followed by a dog barking and a vehicle moving,People are communicating followed by a dog barking and a motorcycle accelerating
103115,Air spraying followed by fire igniting then audio static proceeded by pressurized air releasing before softly hissing,"Air spraying followed by fire igniting then audio static proceeded by a sudden, forceful explosion before softly hissing"
105804,A young male speaking,"An elderly male speaking in a raspy, gravelly tone"
105707,"Slight rustling and thumping occur, followed by a flush of water with splashing and gurgling","Slight rustling and thumping occur, followed by a powerful flush of water with splashing and gurgling"
105865,Ocean waves crashing as water trickles and splashes,Ocean waves gently lapping as water trickles and splashes
103831,A crowd of people applauding and cheering,A crowd of people cheering while whistling enthusiastically
17066,Very loud explosions with pops and bursts of more explosions,"Low, resonant, muffled explosions with deep bursts of more explosions"
104837,A man gasping for air then talking followed by mumbling,"A man gasping for air then talking with a distorted, radio-like quality, followed by mumbling"
103207,A man talking followed by a popping burst then a man screaming proceeded by a crowd of people laughing,A man talking followed by a popping burst then a man screaming proceeded by a crowd of people murmuring in confusion
106591,Wind blows hard then a man speaks,"A light wind rustles, then a man speaks"
104166,A man briefly talks followed by a drilling sound on wood,A man briefly talks followed by a sawing sound on wood
102957,Loud snoring followed by brief silence then speech,Loud snoring followed by brief silence then whispered speech
106510,Water flowing and trickling,Water rushing rapidly and turbulently
105301,A vacuum cleaner is operating with wind noise,"A vacuum cleaner is operating with a loud, roaring gust of wind"
105916,A baby crying and cooing,A baby softly giggling and cooing
104129,Metal clanking and gears cranking as steam hisses,Metal clanks and gears crank as hot water drips and splashes onto a metal surface
106165,A maniacal laugh followed by a crying baby,A maniacal laugh followed by a giggling toddler
105881,Burping and then laughing with continuous burping,Sniffling and then laughing with continuous sniffles
104583,"Emergency vehicle sirens are ongoing, and two adult males speak","Emergency vehicle sirens are ongoing, and the sound of a child's laughter is present"
106209,Plastic thumping as a man laughs and a kid talk in the distance as wind blows into a microphone and water is splashing,Plastic thumping as a man laughs and a kid talk in the distance as light rain patters into a microphone along with splashing water
104419,A man talking followed by a woman shouting as wind blows into a microphone and birds chirp in the background,A man talking followed by a woman shouting as wind blows into a microphone with the sound of crickets at night in the background
105801,"People talk in the background and the wind is blows gently, and two kids speak in the foreground","People talk in the background and a strong wind howls with gusts, and two kids speak in the foreground"
107283,Several ducks quack and chirp as men speak and wind blows,Several ducks quack and chirp as men shout and laugh excitedly while wind blows
106247,A bus engine running followed by a vehicle horn honking,A bus engine running followed by a police siren wailing
104127,Pigeons coo and flap their wings,Pigeons cluck faintly and flap their wings
103348,A child talking then a man speaking with bird sounds in the background,A child talking then a woman speaking with bird sounds in the background
104309,Sheep bleating with a baby sheep baaing,Sheep bleating in distress with a baby sheep baaing in panic
105925,Speaking and an engine running,Speaking and an engine sputtering unevenly while running
103982,A man talking followed by a faucet running,A man talking followed by a shower spray running
106745,A person burps loudly,"A person makes a tiny, stifled gurgle"
103593,Sneezing followed by a ticking clock and a man speaking,"Sneezing followed by a soft, rhythmic beeping and a man speaking"
32630,A man speaking followed by dogs barking alongside chimps screaming and birds chirping,A woman speaking followed by dogs barking alongside chimps screaming and birds chirping
106970,A motorboat engine running as a man talks followed by wind blowing into a microphone and plastic clacking,An outboard motor humming steadily as a man talks followed by wind blowing into a microphone and plastic clacking
104379,Water is trickling while a woman is speaking,Water is gushing powerfully while a woman is speaking
10203,"Truck in idle mode, door closing, engine revving and accelerating","Truck in idle mode, door closing, engine revving with a sudden, brief sputter"
106758,A man speaking and another speaks over the phone,"A man with a deep, echoing voice speaks and another speaks over the phone"
105847,A rooster crowing and birds cooing,"A distant, echoing rooster crow and birds cooing"
103744,A vehicle engine running and revving several times,A vehicle engine sputtering and failing to start several times
104462,A clock ticking repeatedly,"A clock ticking at a rapid, urgent pace"
103385,"While an electronic device plays in the background, two wolf whistles occur followed by metal thumping","While a radio playing country music plays in the background, two wolf whistles occur followed by metal thumping"
104326,Clicks of weapons being loaded followed by a gunshot and a clink then a man speaks,"Clicks of weapons being loaded followed by a distant, echoing gunshot and a clink then a man speaks"
105024,A man speaks followed by a beep and a child speaks,A man speaks followed by a digital chime and a child speaks
104800,Knocking sounds as race cars pass by,"Knocking sounds as quiet, distant race cars pass by"
104902,Footsteps shuffling followed by fabric slapping a hard surface as a person heavily breathes,A floorboard creaking followed by fabric slapping a hard surface as a person heavily breathes
107084,A motorbike accelerating and revving as wind blows into a microphone,A motorbike purring softly as it accelerates with wind blowing into a microphone
8303,"A motor revs hard, a man speaks","A motor revs hard, and a man takes heavy, labored breaths"
106482,White noise as footsteps run on concrete followed by liquid spraying and a person groaning,White noise as footsteps run on deep gravel followed by liquid spraying and a person groaning
103393,A stream of water trickling followed by water pouring down a drain,A stream of water rushing forcefully followed by water pouring down a drain
105042,Someone in a crowd whistles while engines rev in cars going slowly by,Someone in a crowd whistles while the smooth whirring of electric motors can be heard from vehicles going slowly by
103850,Several cats meowing followed by a man singing in the background,Several cats meowing followed by a woman singing in the background
105505,A woman talking followed by another woman talking as a goat is baaing,A woman talking followed by another woman talking as a distressed goat is bleating
106201,A vehicle horn honking during a series of electronic beeps,A car alarm blast blaring during a series of electronic beeps
14618,Loud banging followed by chugging engine,"Loud banging followed by a low, idle engine hum"
104249,A man speaks with chirping birds and faint buzzing of insects,"A man speaks with muffled, watery chirping of birds and the faint buzzing of insects"
105846,A phone dial tone playing followed by a plastic switch flipping,"A phone dial tone playing, followed by a heavy metal lever flipping"
104220,Beeping with men speaking faintly in the distance with an air release,Beeping with men speaking faintly in the distance with a hydraulic press releasing
103085,A power tool drilling as music plays in the background,"Soft, rhythmic hammering as music plays in the background"
1577,The sound of horn from a car approaching from a distance,"A motorcycle approaches from a distance, its distinct engine revving"
105520,A telephone ringing,"A modern, digital, and soft notification chime for an incoming call"
104389,"A man speaks, a power tool starts and increases in frequency, a clunking noise","A man speaks, a power tool is heard with a steady, constant rumble, then a clunking noise occurs"
103466,A man talking followed by footsteps shuffling then a loud popping explosion proceeded by a man laughing as music plays in the background,A man talking followed by footsteps shuffling then a loud popping explosion proceeded by a man laughing as fast-paced jazz music plays in the background
21635,Water is flowing and dripping then suddenly something is broken and birds are communicating in the background,A rapid torrent of water is rushing and dripping then suddenly something is broken and birds are communicating in the background
103090,Wind blowing followed by a distant goat bleating and women speaking,"Wind blowing, a rooster crowing nearby, and women speaking"
103821,A woman is speaking followed by a dog growling and barking,A woman is speaking followed by a dog yipping playfully
103318,"A loud, long explosion","A series of rapid, smaller detonations"
105785,An engine revving continuously,"An engine producing a series of short, sputtering bursts"
102872,Pigeons cooing followed by bird wings flapping as crickets chirp in the background,Pigeons cooing followed by the rhythmic whir of helicopter blades as crickets chirp in the background
103133,A train running on a railroad track as steam hisses and a train horn blows several times along with a railroad crossing signal ringing in the background,A train running on a railroad track as steam hisses and a train horn blows several times along with the ambience of a busy city street in the background
104316,An idle vehicle engine running as a man is talking,A vehicle engine revving and accelerating away as a man is talking
107406,Water flowing from a faucet with some light bangs and a man speaking,Water flowing from a faucet with some light bangs and a woman speaking
105987,A power tool drilling followed by plastic clanking,A circular saw cutting wood followed by plastic clanking
104626,An infant crying as fabric shuffles,A baby babbling and laughing softly as fabric shuffles
5958,A sound of vibrating motor,"A sound of a motor with a fast, aggressive churning pulse"
105921,Male speech and then whistling,Female speech and then whistling
104400,A woman whispering then talking normally after an infant cries followed by a man shouting,A woman humming a lullaby then talking normally after an infant cries followed by a man shouting
104079,Food sizzling and oil popping,Food simmering and oil popping
105330,Two men talking followed by plastic clacking then a power tool drilling,Two men talking followed by plastic clacking then a circular saw cutting wood
103695,Humming of a loud engine with a woman speaking over a loudspeaker,Humming of a loud engine with a man speaking over a loudspeaker
104119,An infant laughing moderately,An infant giggling softly and occasionally
106594,A man speaking as a man talks over an intercom in the background followed by a girl talking then a group of people laughing and a man and woman talk,A man speaking as a man talks over an intercom in the background followed by a girl talking then a man humming a cheerful tune and a man and woman talk
102836,A motorbike engine running idle,A motorbike engine rapidly accelerating and revving loudly
103748,High pitched humming with whooshes of spinning helicopter blades,A low frequency electrical buzz with whooshes of spinning helicopter blades
104499,Power tools make drilling sounds,A hammer makes rhythmic pounding and clinking sounds
106776,Faucet water pouring followed by a man talking as water gurgles down a drain,"A rapid, splashing shower stream followed by a man talking as water gurgles down a drain"
105476,A truck driving by as a truck horn honks while a crowd of people talk in the background,A truck driving by as a truck horn honks while a crowd of people cheer and clap in the background
106672,"Snoring is ongoing, while an adult female laugh in the foreground and an adult male speaks briefly in the background","Snoring is ongoing, while a child cries in the foreground and an adult male speaks briefly in the background"
104033,Pigeons cooing and bird wings flapping while gravel shuffles and wood clacks,Small songbirds chirping and bird wings flapping while gravel shuffles and wood clacks
104593,A man talking as music plays followed by a guitar strumming as steam hisses in the background,A man talking as a rhythmic drumbeat plays followed by a guitar strumming as steam hisses in the background
102995,Some rustling followed by a woman speaking with some groaning,"Some rustling followed by a woman speaking with some light, rhythmic humming"
103015,A man speaks with distant traffic passing and some nearby rattling,A man speaks with distant traffic passing and a nearby humming sound
102940,Blowing of a horn as a train passes,"A high, piercing whistle sounds as a train passes"
104077,A man speaks followed by vibrations of a power tool,"A man's voice, filtered as if through a telephone, speaks, followed by vibrations of a power tool"
104347,A man speaking softly followed by a goat speaking then a cow mooing in the distance as birds chirp in the background,A man speaking softly followed by a goat speaking then a bull bellowing angrily nearby as birds chirp in the background
103872,Music then sizzle of frying food while male speaks,Music then sizzle of frying food while female speaks
3975,"Water is splashing, people are talking","A gentle stream is flowing, people are talking"
107024,Humming of an accelerating engine with wind passing and rustling,Humming of an accelerating engine with wind passing and heavy rainfall
103694,A man baaing followed by a goat baaing as a child and a woman talk while metal pots clank in the background,A man baaing followed by a goat baaing as a child and a woman talk while a wooden spoon taps rhythmically on a ceramic bowl in the background
106454,Ocean waves crashing and water splashing as wind blows into a microphone followed by a man talking,Ocean waves crashing and water splashing as a calm breeze blows into a microphone followed by a man talking
102856,Men speak with some light clicks then vibrations and then digital clicks,"Men speak with some light clicks then vibrations and then a low, steady electrical hum"
104272,A man talking as a door slams shut followed by a door creaking,"A man talking as a door makes a soft, muffled thud followed by a door creaking"
105598,A fan sound and a tapping noise,"A fan sound with the steady, rhythmic clicking of someone typing on a mechanical keyboard"
102740,A motorboat engine running idle then accelerating as water trickles followed by water spraying,A high-speed racing boat engine running idle then accelerating as water trickles followed by water spraying
5206,A baby is crying,A baby is contentedly cooing and gurgling
103679,A young boy talking as a duck is quacking while water trickles and frogs croak in the background,A young boy talking as a duck is rapidly flapping its wings as it takes off from the water while water trickles and frogs croak in the background
103620,A young woman talking as plastic crinkles and crumples,A young woman talking as someone types on a keyboard
103352,A man talking followed by wood being sawed followed by paper shuffling,A man talking followed by wood being sawed followed by a printer printing pages
106719,A motorbike engine running while a series of vehicle horns sound and a car alarm goes off in the background,A high-pitched and aggressive motorbike engine roar while a series of vehicle horns sound and a car alarm goes off in the background
105836,A woman yelling and laughing as ocean waves crash and a group of people shout while wind blows into a microphone,A woman yelling and laughing as light rain drizzles onto a calm sea surface and a group of people shout while wind blows into a microphone
103753,"A bird calls in the distance occasionally, a hollow clanking sound is followed by rushing water, a double thump, and a trickling sound","A continuous, melodic birdsong comes from the distance, a hollow clanking sound is followed by rushing water, a double thump, and a trickling sound"
103856,A woman and a child speaking,A woman reading a fairy tale to a child
105285,Motorcycle engine idling as man starts talking,Motorcycle revs loudly then stalls as man starts talking
103445,Scratching noises accompanied by a female voice,Scratching noises accompanied by a child's voice
105790,Cats meowing and then wind,Cats meowing and then a violent thunderstorm
102848,A sewing machine running as a steam hisses followed by a machine motor sharply running in the background,"A sewing machine running as a steam hisses followed by a slow, labored machine motor in the background"
104756,A vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background,A vehicle door opening as a dog barks and birds chirp while vehicles drive by in the background
106019,"A motor vehicle engine clicks and whirs and tries to start three times, metal clinks softly, then a deep buzz occurs","A motor vehicle engine clicks and whirs and tries to start three times, metal clinks softly, then a short, sharp electronic beep occurs"
104750,A duck chirping as water lightly trickles and splashes,A duck chirping as heavy rain steadily falls and splashes
104325,Artillery cannons firing followed by a man talking as someone whistles while a group of men shout and gunshots fire in the background,Artillery cannons firing followed by a man talking as someone whistles while a group of men shout and heavy machine gun fire rattles in the background
107175,Wind blowing with distant traffic passing and sirens ringing,Wind blowing with heavy truck traffic passing nearby and distant sirens ringing
104311,Water splashing and trickling as wind blows into a microphone followed by a man talking in the background,A fast-flowing brook trickling as wind blows into a microphone followed by a man talking in the background
104602,A crowd of people applaud and cheer,A crowd of people applaud and chant rhythmically together
104168,Pigeons coo and flap their wings,Distant pigeons coo and flap their wings
107023,Food and oil sizzling as a man is speaking followed by wooden clanking then gravel scraping,"A loud, crackling deep-fry as a man is speaking followed by wooden clanking then gravel scraping"
107382,A baby cries and a young child speaks,The sound of a baby crying while a young child laughs joyfully
104285,Railroad tracks clickety-clack as train horn blasts,"A train horn blasts as the vehicle glides with a smooth, metallic whoosh at high speed"
103910,A man speaks followed by thumps and clicks with some faint grunts,A man laughs followed by thumps and clicks with some faint grunts
107065,Bubbles gurgling and water spraying as a man speaks softly while crowd of people talk in the background,Bubbles are gurgling and water is spraying as a man speaks softly while a crowd enthusiastically cheers and applauds in the background
103589,A train running on a railroad track followed by a vehicle door closing and a man talking while a train horn is blowing and railroad crossing signals are ringing in the distance,A train running on a railroad track followed by a vehicle door closing and a man talking while a very loud and urgent train horn is blowing and railroad crossing signals are ringing in the distance
103327,A racing vehicle driving in the distance then driving by as a crowd of people talk in the background followed by a horn honking while wind blows into a microphone,A racing vehicle driving in the distance then driving by as a crowd of people talk in the background followed by continuous sirens while wind blows into a microphone
106911,A group of people screaming followed by missiles launching and loud popping explosions then a slowed down explosion,"A group of people screaming followed by missiles launching and rapid, metallic clanging then a slowed down explosion"
104732,A fly buzzing and a frog croaking with musical sounds,A fly buzzing and deep frog ribbits with musical sounds
105784,Dog yapping and panting,Dog whimpers and panting
106734,An aircraft engine running as a crowd of people talk in the background,A stationary propeller engine idling quietly as a crowd of people talk in the background
105584,Continuous snoring,"Quiet, rhythmic breathing"
102849,Birds chirp as an object strikes a surface,Birds chirp as a large metallic container is struck
102919,Several church bells ringing,"A single, slow toll of a church bell"
102741,'An engine with people speaking and a horse neighing,An engine with people speaking and hooves clopping on cobblestone
104306,A man talks as an engine idles loudly,A man talks as an engine revs and abruptly shuts off
107270,A person breathing heavily then sneezing,A person breathing shallowly and rapidly then sneezing
103791,Wind blowing and people speaking with distant humming,A strong gust howling and people speaking with distant humming
107016,A kid crying followed by a man talking,A kid crying followed by a high-pitched cartoonish character talking
104628,A man shouting and hollering as ducks quack and chirp while wind blows into a microphone,A man shouting and hollering as ducks quack and chirp with a gentle breeze rustling through tree leaves
104650,"A woman speaks, then a phone chimes, then there is a burp followed by laughter","A woman speaks, then a series of quick, urgent notification beeps play, then there is a burp followed by laughter"
107052,"People are whispering, and a horn sounds followed by laughter","People are whispering, and a horn sounds followed by muffled sighs"
106112,Rain noise on surface as men are speaking,Rain noise on surface as men are whispering to each other
7769,Train is moving followed by a train horn,"Train is moving followed by a distant, echoey train horn"
105186,Water is running followed by a gurgling sound.,Water is running followed by a soft mechanical hum
105306,A man speaks with others speaking in the distance followed by a girl speaking and others laughing,A man speaks with others speaking in the distance followed by a girl speaking and a dog barking playfully
104684,A man talking as metal clanks together followed by footsteps on grass while insects buzz in the background,A man talking as metal clanks together followed by footsteps on gravel while insects buzz in the background
106572,"People are speaking while an engine is running, and an emergency vehicle sounds horn","People are speaking while an engine is running, and a blaring ambulance siren wails"
11642,Man speaking continuously with hissing in the background,Man speaking continuously with the background sound of intermittent electronic crackling
103626,Waves are crashing as the wind blows heavily,"Waves are crashing as a soft, gentle breeze is blowing"
103600,A man talking as water splashes and wind blows heavily into a microphone,A man talking as water splashes and a gentle breeze blows into a microphone
105172,A frog chirping as a woman talks over an intercom and water splashes in the background followed by wood falling on a hard surface,A frog croaking as a woman talks over an intercom and water splashes in the background followed by wood falling on a hard surface
106784,A person whistles as wind blows into a microphone and a crowd of people talk in the background,A person whistles as wind blows into a microphone and a distant train horn sounds in the background
103772,A cat meowing as a person makes kissing noises followed by a guy chuckling,A cat meowing as a person makes kissing noises followed by a woman laughing softly
104550,Wood sawing as pigeons coo and bird wings flap followed by a woman speaking,Hammering on wood as pigeons coo and bird wings flap followed by a woman speaking
107415,An airplane engine revving then running,A propeller plane engine with a high-pitched hum revving then running
106487,White noise continues then something begins clicking,"White noise continues then a low, repeated beeping begins"
106468,Ducks quacking and birds tweeting as a crowd of people talk while a rooster crows in the background,Ducks quacking and birds tweeting as children laugh while a rooster crows in the background
106050,A dog barks along with outdoor noises,A dog whines in a high pitch along with outdoor noises
103148,"White noise followed by brief, muffled speech and rustling","White noise followed by clear, loud speech and rustling"
103477,Clip-clops gallop as the wind blows and thunder cracks,"Clip-clops gallop as the wind blows and a low, continuous rumble of thunder persists"
103771,A man talking as music is playing followed by a frog croaking,"A man speaking with a deep growl as music is playing, followed by a frog croaking"
106845,A man speaks as a machine hums quietly and then increases in volume,A man speaks as a machine beeps rapidly in a high pitch quietly and then increases in volume
106399,A race car engine hums in the distance as wind blows into a microphone and a crowd of people talk followed by a race car speeding by,A revving motorcycle engine is heard in the distance as wind blows into a microphone and a crowd of people talk followed by a race car speeding by
105843,A vehicle is running followed by the horn honking,"A motorcycle engine revs and accelerates, followed by the horn honking"
107136,Whistling as a man speaks,A man speaks while humming a simple tune
106145,A man yelling followed by an infant crying then a woman shouting as a crowd of people talk and laugh,A man sighing heavily followed by an infant crying then a woman shouting as a crowd of people talk and laugh
104058,'An insect buzzing as hollow wood clanks twice followed by a person gulping and a frog croaking proceeded by another insect buzzing and guitar music begins playing,"An insect buzzing as hollow wood clanks twice followed by a person gulping and a frog croaking proceeded by another insect buzzing and a soft, slow piano melody begins playing"
104074,A ringing of a siren with passing traffic,A soft harmonic chime sounds as traffic passes by
107252,A truck engine running followed by a truck horn honking,A truck engine running followed by a train horn honking
106813,"Birds chirp in the distance and a man speaks, and walks through the grass","Birds chirp in the distance and a woman speaks, and walks through the grass"
105493,A horn honking several times,A police siren wailing several times
106323,A motorboat drives in the distance as people talk and rap music plays in the background,A helicopter flies in the distance as people talk and rap music plays in the background
102837,A man speaks with wind blowing and leaves rustling,A woman speaks with wind blowing and leaves rustling
104787,A woman speaks with some rustling and crinkling of plastic,A male voice delivers a news bulletin with some rustling and crinkling of plastic
105959,An idle helicopter engine running as birds chirp in the background,A helicopter engine spooling down to a stop as birds chirp in the background
104408,Digital beeping with a horn honking twice,Digital beeping with a bicycle bell ringing twice
106448,A person groaning followed by a series of gunshots and a high-pitched grunt then synthesized laser effects as music plays in the background,A person groaning followed by a series of gunshots and a high-pitched grunt then electric sparking sounds as music plays in the background
106721,A woman speaks with some rustling and hissing,A woman speaks with pages turning and hissing
103965,Running footsteps followed by spraying noise,Running footsteps followed by a burst of compressed air
105341,"A repeated whistling sound and a small child babbling, followed by a man talking","A steady electronic chime and a small child babbling, followed by a man talking"
103014,A man talking followed by a goat baaing as wind lightly blows into a microphone followed by a crow cawing in the distance,"A man talking followed by a goat baaing as a strong, howling wind blows into a microphone followed by a crow cawing in the distance"
106801,An infant crying with another infant crying in the background followed by a woman speaking,An infant crying with another infant crying in the background followed by a man humming
107354,Male speech and wind blowing hard over microphone,Male speech with a crackling shortwave radio effect and wind blowing hard over microphone
106647,A rattling motor slowly comes to a stop,A humming motor slowly comes to a stop
104657,Horses growl and clop hooves,"Horses growl while their hooves make slick, deep clops on muddy ground"
104538,Water trickles down continuously,Water splashes down continuously
102771,Wood clacking and scrapping as bells chime while a muffled clock ticks,"Wood clacking and scrapping while small bells jingle rapidly, as a muffled clock ticks"
107427,"Rain is splashing on a surface while rustling occurs and a car door shuts, and traffic is discernible in the distance","A heavy downpour drums loudly on a surface as wind gusts whistle, while rustling occurs and a car door shuts, and traffic is discernible in the distance"
102801,A child speaks followed by scrubbing and spitting,"A child speaks, followed by a door creaking open and spitting"
106238,Female and male are having conversation,Female and male are exchanging emotional whispers
103960,A sprayer is emitting liquids with a loud whooshing noise,"A sprayer is emitting liquids with a soft, gentle hissing noise"
105856,Whistling and then a female singing,Rhythmic finger tapping followed by a female singing
104595,Food and oil sizzling followed by oil popping then steam hissing as a man talks and light music plays in the background,Food and oil sizzling followed by oil popping then steam hissing as a man talks and upbeat jazz music plays in the background
103499,A man talking as an infant is crying followed by a man humming,A man talking as an infant is wailing loudly followed by a man humming
106408,A woman speaking very quickly,A woman whispering very quickly
106134,A vehicle engine idles and birds chirp in the background,An engine starts up aggressively and birds chirp in the background
105588,Two woman speaking then a baby crying,Two women speaking then a toddler laughing
105835,An idle helicopter engine running,"A helicopter engine powering up, rotors spinning faster with rising intensity and altitude wind"
103465,Electronic laser blasts and explosions followed by a deep-voiced man talking while a man commentates followed by a woman chuckling,Metallic weapon reloading sounds and ricochet effects followed by explosions and a deep-voiced man talking while a man commentates followed by a woman chuckling
105102,A man talking as a metal thumps followed by a power tool sanding as a metal pot clanks,A man talking as a metal thumps followed by an electric drill as a metal pot clanks
105876,Buzzing sound moving nearer and further,Buzzing sound sweeping slowly from left to right
104498,A jackhammer operating then slowing down before operating at a normal rate again,A pneumatic drill operating then slowing down before operating at a normal rate again
106222,"A woman is speaking, and a child speaks","A woman is whispering, and a child speaks"
104506,A vehicle engine accelerating as plastic rattles and wind blows into a microphone,A vehicle engine idling as plastic rattles and wind blows into a microphone
