audiocaps_id,source_audio_prompt,target_audio_prompt
106648,A man is speaking with tapping noises and dishes being moved,A man is speaking while dishes are being moved
105051,Gravely sound with women voice in background,Gravelly sound
104764,Continuous basing and rustling,Continuous bass
6223,Wind is blowing and water gurgles,Wind is blowing
104659,Humming of a distant aircraft engine,Silence with a faint ambient background
106295,Female speech and rubbing,Rubbing
106936,A woman heavily breathing then sneezing and then sniffling,A woman sneezing and then sniffling
104620,A man talking followed by wind blowing into a microphone while insects buzz,Wind blowing into a microphone while insects buzz
107069,A woman speaking,Ambient room tone
104514,A woman speaks while a crowd talks and chuckles,A woman giving a speech in a quiet room
102746,Water splashing followed by a woman speaking,Water splashing
103456,A woman speaks then a small child speaks,A small child speaks
103787,A person heavily breathing as wood creaks and ducks quack,Wood creaks and ducks quack
11560,A cat meows and hisses,A cat hisses
103170,A main is smoothly speaking over a loud faint noise,A man is smoothly speaking
104656,A man talking as metal clacks followed by metal scrapping against a metal surface,"A man talking, with metal scraping against a metal surface"
106531,A person belching several times as a group of people laugh,A group of people laughing
104445,A man talking as gusts of wind blow followed by an aircraft flying by,Gusts of wind blow followed by an aircraft flying by
104269,An engine idling with light wind,An engine idling
106324,The voices of a man and a women talking,The voice of a woman talking
107227,Insects buzzing as a man speaks while birds chirp and wind blows into a microphone,A man speaks while birds chirp and wind blows into a microphone
103282,"A race car races, and the engine accelerates",A race car moves on the track
104679,A motor humming as wood is being scrapped and sanded,Wood being scrapped and sanded
104584,A car door opening as a crow caws and birds chirp followed by a vehicle driving by in the background,A car door opening with birds chirping in the surroundings is followed by a vehicle driving by in the background
105111,A woman speaks with nearby insects buzzing,A woman speaks
105170,A woman speaks with flapping wings and chirping birds,Flapping wings and chirping birds
106690,A woman talking followed by a bird whistling then a person whistling,A woman talking followed by a person whistling
106724,A woman speaks with chirping frogs and distant music playing,A woman speaks with chirping frogs
104953,Race cars are racing and skidding tires,Tires are skidding on a racetrack
103013,A man talking as a kid yells followed by an aircraft flying in the distance as wind blows into a microphone,A man talking as a kid yells followed by an aircraft flying in the distance
105271,People are communicating followed by a dog barking and a vehicle moving,People are communicating followed by a vehicle moving
103115,Air spraying followed by fire igniting then audio static proceeded by pressurized air releasing before softly hissing,"Air spraying followed by fire igniting, then pressurized air releasing before softly hissing"
105804,A young male speaking,A quiet room with ambient silence
105707,"Slight rustling and thumping occur, followed by a flush of water with splashing and gurgling","Slight rustling occurs, followed by a flush of water with splashing and gurgling"
105865,Ocean waves crashing as water trickles and splashes,Ocean waves crashing and splashing
103831,A crowd of people applauding and cheering,A crowd of people applauding
17066,Very loud explosions with pops and bursts of more explosions,Very loud explosions with bursts of more explosions
104837,A man gasping for air then talking followed by mumbling,A man gasping for air then talking
103207,A man talking followed by a popping burst then a man screaming proceeded by a crowd of people laughing,A man talking then a man screaming proceeded by a crowd of people laughing
106591,Wind blows hard then a man speaks,Wind blows hard
104166,A man briefly talks followed by a drilling sound on wood,A drilling sound on wood
102957,Loud snoring followed by brief silence then speech,Brief silence followed by speech
106510,Water flowing and trickling,Water flowing
105301,A vacuum cleaner is operating with wind noise,A vacuum cleaner's motor and brushing mechanisms are heard on the floor
105916,A baby crying and cooing,A baby crying
104129,Metal clanking and gears cranking as steam hisses,Metal clanks as gears crank
106165,A maniacal laugh followed by a crying baby,A crying baby
105881,Burping and then laughing with continuous burping,Laughing continuously
104583,"Emergency vehicle sirens are ongoing, and two adult males speak",Two adult males speak
106209,Plastic thumping as a man laughs and a kid talk in the distance as wind blows into a microphone and water is splashing,A man laughing and a kid talking distantly as wind blows into a microphone along with splashing water
104419,A man talking followed by a woman shouting as wind blows into a microphone and birds chirp in the background,A man talking followed by a woman shouting with birds chirping in the background
105801,"People talk in the background and the wind is blows gently, and two kids speak in the foreground",The wind blows gently and two kids speak in the foreground
107283,Several ducks quack and chirp as men speak and wind blows,Several ducks quack and chirp as men speak
106247,A bus engine running followed by a vehicle horn honking,A bus engine running
104127,Pigeons coo and flap their wings,Pigeons coo
103348,A child talking then a man speaking with bird sounds in the background,A child talking then a man speaking
104309,Sheep bleating with a baby sheep baaing,Sheep bleating
105925,Speaking and an engine running,An engine running
103982,A man talking followed by a faucet running,A man talking
106745,A person burps loudly,
103593,Sneezing followed by a ticking clock and a man speaking,Sneezing followed by a ticking clock
32630,A man speaking followed by dogs barking alongside chimps screaming and birds chirping,A man speaking with chimps screaming and birds chirping
106970,A motorboat engine running as a man talks followed by wind blowing into a microphone and plastic clacking,A motorboat engine running as a man talks followed by wind blowing into a microphone
104379,Water is trickling while a woman is speaking,A woman is speaking
10203,"Truck in idle mode, door closing, engine revving and accelerating","Door closing, engine revving and accelerating"
106758,A man speaking and another speaks over the phone,A man is speaking
105847,A rooster crowing and birds cooing,Birds cooing
103744,A vehicle engine running and revving several times,A vehicle engine running steadily
104462,A clock ticking repeatedly,Silence
103385,"While an electronic device plays in the background, two wolf whistles occur followed by metal thumping",Two wolf whistles occur followed by metal thumping
104326,Clicks of weapons being loaded followed by a gunshot and a clink then a man speaks,Clicks of weapons being loaded followed by a gunshot then a man speaks
105024,A man speaks followed by a beep and a child speaks,A man speaks followed by a beep
104800,Knocking sounds as race cars pass by,Race cars passing by
104902,Footsteps shuffling followed by fabric slapping a hard surface as a person heavily breathes,Footsteps shuffling followed by fabric slapping a hard surface
107084,A motorbike accelerating and revving as wind blows into a microphone,Wind blowing into a microphone
8303,"A motor revs hard, a man speaks",A motor revs hard
106482,White noise as footsteps run on concrete followed by liquid spraying and a person groaning,White noise as footsteps run on concrete followed by a person groaning
103393,A stream of water trickling followed by water pouring down a drain,A stream of water trickling
105042,Someone in a crowd whistles while engines rev in cars going slowly by,Engines rev in cars going slowly by
103850,Several cats meowing followed by a man singing in the background,A man singing in the background
105505,A woman talking followed by another woman talking as a goat is baaing,A woman talking followed by another woman talking
106201,A vehicle horn honking during a series of electronic beeps,A series of electronic beeps
14618,Loud banging followed by chugging engine,Loud banging
104249,A man speaks with chirping birds and faint buzzing of insects,A man speaks with chirping birds
105846,A phone dial tone playing followed by a plastic switch flipping,A plastic switch flipping
104220,Beeping with men speaking faintly in the distance with an air release,Men speaking faintly in the distance with an air release
103085,A power tool drilling as music plays in the background,Music plays in the background
1577,The sound of horn from a car approaching from a distance,"A car approaches from a distance, its engine and tires audible as it moves closer"
105520,A telephone ringing,An empty room with no distinct sounds present
104389,"A man speaks, a power tool starts and increases in frequency, a clunking noise","A power tool starts and increases in frequency, followed by a clunking noise"
103466,A man talking followed by footsteps shuffling then a loud popping explosion proceeded by a man laughing as music plays in the background,A man talking followed by footsteps shuffling then a man laughing as music plays in the background
21635,Water is flowing and dripping then suddenly something is broken and birds are communicating in the background,Water is flowing and dripping while birds are communicating in the background
103090,Wind blowing followed by a distant goat bleating and women speaking,A distant goat bleating and women speaking
103821,A woman is speaking followed by a dog growling and barking,"A woman is speaking, followed by a dog barking"
103318,"A loud, long explosion",Silence
105785,An engine revving continuously,Silence
102872,Pigeons cooing followed by bird wings flapping as crickets chirp in the background,Bird wings flapping as crickets chirp in the background
103133,A train running on a railroad track as steam hisses and a train horn blows several times along with a railroad crossing signal ringing in the background,A train running on a railroad track as steam hisses along with a railroad crossing signal ringing in the background
104316,An idle vehicle engine running as a man is talking,An idle vehicle engine running
107406,Water flowing from a faucet with some light bangs and a man speaking,Light bangs and a man speaking
105987,A power tool drilling followed by plastic clanking,A power tool drilling
104626,An infant crying as fabric shuffles,An infant crying
5958,A sound of vibrating motor,Silence
105921,Male speech and then whistling,Male speech
104400,A woman whispering then talking normally after an infant cries followed by a man shouting,A woman whispering then talking normally followed by a man shouting
104079,Food sizzling and oil popping,Food sizzling in a pan
105330,Two men talking followed by plastic clacking then a power tool drilling,Two men talking followed by plastic clacking
103695,Humming of a loud engine with a woman speaking over a loudspeaker,Humming of a loud engine
104119,An infant laughing moderately,"A quiet, empty room"
106594,A man speaking as a man talks over an intercom in the background followed by a girl talking then a group of people laughing and a man and woman talk,A man speaking followed by a girl talking then a group of people laughing and a man and woman talk
102836,A motorbike engine running idle,"Silence, with no distinct sounds"
103748,High pitched humming with whooshes of spinning helicopter blades,High pitched humming
104499,Power tools make drilling sounds,A quiet industrial workspace
106776,Faucet water pouring followed by a man talking as water gurgles down a drain,Faucet water pouring as water gurgles down a drain
105476,A truck driving by as a truck horn honks while a crowd of people talk in the background,A truck driving by while a crowd of people talk in the background
106672,"Snoring is ongoing, while an adult female laugh in the foreground and an adult male speaks briefly in the background","Snoring is ongoing, while an adult female laugh in the foreground"
104033,Pigeons cooing and bird wings flapping while gravel shuffles and wood clacks,Pigeons cooing and bird wings flapping while gravel shuffles
104593,A man talking as music plays followed by a guitar strumming as steam hisses in the background,A man talking as music plays followed by a guitar strumming
102995,Some rustling followed by a woman speaking with some groaning,Some rustling followed by some groaning
103015,A man speaks with distant traffic passing and some nearby rattling,A man speaks with some nearby rattling
102940,Blowing of a horn as a train passes,A train passes
104077,A man speaks followed by vibrations of a power tool,A man speaks
104347,A man speaking softly followed by a goat speaking then a cow mooing in the distance as birds chirp in the background,A goat speaking then a cow mooing in the distance as birds chirp in the background
103872,Music then sizzle of frying food while male speaks,Music then sizzle of frying food
3975,"Water is splashing, people are talking",Water is splashing
107024,Humming of an accelerating engine with wind passing and rustling,Humming of an accelerating engine with rustling
103694,A man baaing followed by a goat baaing as a child and a woman talk while metal pots clank in the background,A child and a woman talk while metal pots clank in the background
106454,Ocean waves crashing and water splashing as wind blows into a microphone followed by a man talking,Ocean waves crashing and water splashing as wind blows into a microphone
102856,Men speak with some light clicks then vibrations and then digital clicks,Light clicks then vibrations and then digital clicks
104272,A man talking as a door slams shut followed by a door creaking,A door slams shut followed by a door creaking
105598,A fan sound and a tapping noise,A repetitive tapping noise on a flat surface
102740,A motorboat engine running idle then accelerating as water trickles followed by water spraying,A motorboat engine running idle then accelerating followed by water spraying
5206,A baby is crying,Silence
103679,A young boy talking as a duck is quacking while water trickles and frogs croak in the background,A young boy talking as a duck is quacking while water trickles in the background
103620,A young woman talking as plastic crinkles and crumples,A young woman talking
103352,A man talking followed by wood being sawed followed by paper shuffling,A man talking followed by paper shuffling
106719,A motorbike engine running while a series of vehicle horns sound and a car alarm goes off in the background,A motorbike engine running while a series of vehicle horns sounds in the background
105836,A woman yelling and laughing as ocean waves crash and a group of people shout while wind blows into a microphone,Ocean waves crash and a group of people shout while wind blows into a microphone
103753,"A bird calls in the distance occasionally, a hollow clanking sound is followed by rushing water, a double thump, and a trickling sound","A bird calls in the distance occasionally, a hollow clanking sound is followed by a double thump and a trickling sound"
103856,A woman and a child speaking,A woman speaking
105285,Motorcycle engine idling as man starts talking,Man talking
103445,Scratching noises accompanied by a female voice,Scratching noises
105790,Cats meowing and then wind,Wind
102848,A sewing machine running as a steam hisses followed by a machine motor sharply running in the background,A sewing machine running as a steam hisses
104756,A vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background,A vehicle door opening as a crow caws and birds chirp
106019,"A motor vehicle engine clicks and whirs and tries to start three times, metal clinks softly, then a deep buzz occurs","A motor vehicle engine clicks and whirs and tries to start three times, then a deep buzz occurs"
104750,A duck chirping as water lightly trickles and splashes,Water lightly trickles and splashes
104325,Artillery cannons firing followed by a man talking as someone whistles while a group of men shout and gunshots fire in the background,A man talking as someone whistles while a group of men shout and gunshots fire in the background
107175,Wind blowing with distant traffic passing and sirens ringing,Wind blowing with distant sirens ringing
104311,Water splashing and trickling as wind blows into a microphone followed by a man talking in the background,Water splashing and trickling as wind blows into a microphone
104602,A crowd of people applaud and cheer,A crowd of people applaud
104168,Pigeons coo and flap their wings,Pigeons flap their wings
107023,Food and oil sizzling as a man is speaking followed by wooden clanking then gravel scraping,Food and oil sizzling as a man is speaking followed by wooden clanking
107382,A baby cries and a young child speaks,A young child speaks
104285,Railroad tracks clickety-clack as train horn blasts,A train horn blasts
103910,A man speaks followed by thumps and clicks with some faint grunts,A man speaks with some faint grunts
107065,Bubbles gurgling and water spraying as a man speaks softly while crowd of people talk in the background,The sound of bubbles gurgling and water spraying is present while a crowd of people talk in the background
103589,A train running on a railroad track followed by a vehicle door closing and a man talking while a train horn is blowing and railroad crossing signals are ringing in the distance,A train running on a railroad track followed by a vehicle door closing while a train horn is blowing and railroad crossing signals are ringing in the distance
103327,A racing vehicle driving in the distance then driving by as a crowd of people talk in the background followed by a horn honking while wind blows into a microphone,A racing vehicle driving in the distance then driving by as a crowd of people talk in the background followed by a horn honking
106911,A group of people screaming followed by missiles launching and loud popping explosions then a slowed down explosion,Missiles launching then loud popping explosions and a slowed down explosion
104732,A fly buzzing and a frog croaking with musical sounds,A fly buzzing and a frog croaking
105784,Dog yapping and panting,A dog yapping
106734,An aircraft engine running as a crowd of people talk in the background,A crowd of people talking
105584,Continuous snoring,Silence
102849,Birds chirp as an object strikes a surface,An object strikes a surface
102919,Several church bells ringing,Silence
102741,'An engine with people speaking and a horse neighing,An engine with a horse neighing
104306,A man talks as an engine idles loudly,A man talks
107270,A person breathing heavily then sneezing,A person breathing heavily
103791,Wind blowing and people speaking with distant humming,Wind blowing with distant humming
107016,A kid crying followed by a man talking,A man talking
104628,A man shouting and hollering as ducks quack and chirp while wind blows into a microphone,Ducks quack and chirp while wind blows into a microphone
104650,"A woman speaks, then a phone chimes, then there is a burp followed by laughter","A phone chimes, then there is a burp followed by laughter"
107052,"People are whispering, and a horn sounds followed by laughter",A horn sounds followed by laughter
106112,Rain noise on surface as men are speaking,Rain noise on a surface
7769,Train is moving followed by a train horn,Train is moving
105186,Water is running followed by a gurgling sound.,A gurgling sound is present
105306,A man speaks with others speaking in the distance followed by a girl speaking and others laughing,"A man speaks, followed by a girl speaking and others laughing"
104684,A man talking as metal clanks together followed by footsteps on grass while insects buzz in the background,Metal clanks together followed by footsteps on grass while insects buzz in the background
106572,"People are speaking while an engine is running, and an emergency vehicle sounds horn",People are speaking and an emergency vehicle sounds horn
11642,Man speaking continuously with hissing in the background,A man's voice speaking in a continuous monologue
103626,Waves are crashing as the wind blows heavily,Wind blows heavily
103600,A man talking as water splashes and wind blows heavily into a microphone,A man talking as water splashes
105172,A frog chirping as a woman talks over an intercom and water splashes in the background followed by wood falling on a hard surface,A frog chirping as a woman talks over an intercom followed by wood falling on a hard surface
106784,A person whistles as wind blows into a microphone and a crowd of people talk in the background,Wind blows into a microphone and a crowd of people talk in the background
103772,A cat meowing as a person makes kissing noises followed by a guy chuckling,A cat meowing followed by a guy chuckling
104550,Wood sawing as pigeons coo and bird wings flap followed by a woman speaking,Wood sawing as pigeons coo and bird wings flap
107415,An airplane engine revving then running,An airplane engine running
106487,White noise continues then something begins clicking,White noise continues
106468,Ducks quacking and birds tweeting as a crowd of people talk while a rooster crows in the background,Birds tweeting as a crowd of people talk while a rooster crows in the background
106050,A dog barks along with outdoor noises,Outdoor noises are present
103148,"White noise followed by brief, muffled speech and rustling","A brief occurrence of muffled speech, then rustling sounds"
103477,Clip-clops gallop as the wind blows and thunder cracks,The wind blows and thunder cracks
103771,A man talking as music is playing followed by a frog croaking,A man talking as music is playing
106845,A man speaks as a machine hums quietly and then increases in volume,A man speaks
106399,A race car engine hums in the distance as wind blows into a microphone and a crowd of people talk followed by a race car speeding by,A race car engine hums in the distance as wind blows into a microphone followed by a race car speeding by
105843,A vehicle is running followed by the horn honking,A vehicle is running
107136,Whistling as a man speaks,A man speaks
106145,A man yelling followed by an infant crying then a woman shouting as a crowd of people talk and laugh,A man yelling followed by a woman shouting as a crowd of people talk and laugh
104058,'An insect buzzing as hollow wood clanks twice followed by a person gulping and a frog croaking proceeded by another insect buzzing and guitar music begins playing,"Hollow wood clanks twice followed by a person gulping and a frog croaking, then guitar music begins playing"
104074,A ringing of a siren with passing traffic,A siren ringing in isolation
107252,A truck engine running followed by a truck horn honking,A truck horn honking
106813,"Birds chirp in the distance and a man speaks, and walks through the grass",Birds chirp in the distance and footsteps rustle through grass
105493,A horn honking several times,Urban street ambience
106323,A motorboat drives in the distance as people talk and rap music plays in the background,A motorboat drives in the distance with rap music playing in the background
102837,A man speaks with wind blowing and leaves rustling,A man speaks with leaves rustling
104787,A woman speaks with some rustling and crinkling of plastic,A woman speaks
105959,An idle helicopter engine running as birds chirp in the background,Birds chirping in the background
104408,Digital beeping with a horn honking twice,A horn honking twice
106448,A person groaning followed by a series of gunshots and a high-pitched grunt then synthesized laser effects as music plays in the background,A person groaning then a high-pitched grunt with synthesized laser effects as music plays in the background
106721,A woman speaks with some rustling and hissing,A woman speaks with rustling
103965,Running footsteps followed by spraying noise,Spraying noise
105341,"A repeated whistling sound and a small child babbling, followed by a man talking",A repeated whistling sound followed by a man talking
103014,A man talking followed by a goat baaing as wind lightly blows into a microphone followed by a crow cawing in the distance,A man talking as wind lightly blows into a microphone followed by a crow cawing in the distance
106801,An infant crying with another infant crying in the background followed by a woman speaking,An infant crying followed by a woman speaking
107354,Male speech and wind blowing hard over microphone,Male speech
106647,A rattling motor slowly comes to a stop,A motor slowly comes to a stop
104657,Horses growl and clop hooves,Horses clop hooves
104538,Water trickles down continuously,A deep silence prevails
102771,Wood clacking and scrapping as bells chime while a muffled clock ticks,Wood clacking and scrapping as bells chime
107427,"Rain is splashing on a surface while rustling occurs and a car door shuts, and traffic is discernible in the distance","Rain is splashing on a surface while rustling occurs, and traffic is discernible in the distance"
102801,A child speaks followed by scrubbing and spitting,"A child speaks, followed by scrubbing"
106238,Female and male are having conversation,Female is speaking alone
103960,A sprayer is emitting liquids with a loud whooshing noise,A sprayer is emitting liquids
105856,Whistling and then a female singing,A female sings
104595,Food and oil sizzling followed by oil popping then steam hissing as a man talks and light music plays in the background,Food and oil sizzling followed by oil popping then steam hissing as light music plays in the background
103499,A man talking as an infant is crying followed by a man humming,A man talking followed by a man humming
106408,A woman speaking very quickly,Ambient indoor room tone
106134,A vehicle engine idles and birds chirp in the background,A vehicle engine idles
105588,Two woman speaking then a baby crying,Two women speaking
105835,An idle helicopter engine running,Silence with a light wind blowing
103465,Electronic laser blasts and explosions followed by a deep-voiced man talking while a man commentates followed by a woman chuckling,Electronic laser blasts and explosions while a man commentates followed by a woman chuckling
105102,A man talking as a metal thumps followed by a power tool sanding as a metal pot clanks,A man talking as a metal thumps followed by a power tool sanding
105876,Buzzing sound moving nearer and further,Silence with subtle room tone
104498,A jackhammer operating then slowing down before operating at a normal rate again,A jackhammer operating at a normal rate
106222,"A woman is speaking, and a child speaks",A child is speaking
104506,A vehicle engine accelerating as plastic rattles and wind blows into a microphone,A vehicle engine accelerating as wind blows into a microphone
107055,"Metal clattering and rattling is ongoing, along with brief hissing, while many people talk in the background",Metal clattering and rattling is ongoing while many people talk in the background
106335,"Wind noise while a water vehicle is traveling across water, and a man talks",Wind noise while a water vehicle is traveling across water
105960,A bus engine slowing down then accelerating,A bus engine slowing down to an idle
104892,Leaves rustling in the wind with dogs barking and birds chirping,Leaves rustling in the wind with birds chirping
107396,A distant engine hums and gets louder as it approaches with squealing tires,A distant engine hums and gets louder as it approaches
103383,A man talking as a man is snoring,A man is snoring
104475,Female speech followed by a thumping noise,A woman's voice speaking
103006,A man speaking softly,Ambient room silence
104855,A man speaks with a small motor buzzing and wind blowing,A man speaks with wind blowing
104757,Motorcycle engine running,"A quiet, empty space"
103951,A baby and a woman laugh,A woman laughs
107093,Hissing and clinking,Hissing
105988,A vehicle horn is repeatedly tooting followed by a passing engine rumble,A vehicle horn is repeatedly tooting
105731,A object is hitting a surface followed by a loud boom,A loud boom occurs
106384,Footsteps are followed by oinking and then a squeal,Footsteps are followed by oinking
105617,Sizzling and a female speaking,Sizzling
106551,An emergency vehicle has the siren on,An emergency vehicle moves along a street
106777,Insects buzzing followed by plastic camera muffling and a kid speaking then footsteps walking on foliage,Insects buzzing followed by plastic camera muffling then footsteps walking on foliage
106827,A man speaks followed by a child crying and then a woman speaking,A man speaks followed by a woman speaking
104934,A person breathes heavily and sneezes,A person sneezes
103878,A distorted gasping followed by footsteps walking on a hard surface and people grunting while a beating sounds in the background as a series of gunshots fire,A distorted gasping followed by footsteps walking on a hard surface while a beating sounds in the background as a series of gunshots fire
103594,Humming and vibrations of a vehicle speeding past and into the distance,Vibrations of a vehicle speeding past and into the distance
106668,Wind blowing and water splashing,Wind blowing
106727,Frogs croaking together with a man speaking followed by rustling,A man speaking followed by rustling
104670,"Metal clinks five times, a coin drops, knocking on glass occurs, a coin drops again, and a small child speaks","Metal clinks five times, a coin drops, a coin drops again, and a small child speaks"
105127,"Snoring is ongoing, while an adult female laughs and an adult male speaks",An adult male speaks and snoring is ongoing
105444,A sewing machine operating several times followed by metal clanking,Metal clanking
104047,A man speaks with distant birds chirping and a small loud chirp,A man speaks with a small loud chirp
104090,A television plays in the distant background and then a sewing machine starts up,A sewing machine stitches in a quiet setting
106576,A stream of water flowing as the wind blows,The wind blowing
103012,A clock ticks with breathing in the background,Breathing in the background
104008,A woman speaks with some clicks and then hissing,A woman speaks with some clicks
103407,Some light banging followed by water splashing,Some light banging
106042,A man talking as water splashes and gurgles and a motor engine hums in the background,A man talking as water splashes and gurgles in the background
104323,Horses trotting while wood clanks several times as a woman talks and birds chirp in the background alongside wind blowing into a microphone,Horses trotting while wood clanks several times as a woman talks and birds chirp in the background
106393,A toilet is flushing followed by a cat meowing,A toilet is flushing
104667,An adult female is speaking in a quiet environment,"A silent, still indoor environment"
103585,Rain pouring on a hard surface as a vehicle drives by while water splashes in the background,Rain pouring on a hard surface with water splashing in the background
103546,"An engine rumbles loudly, then an air horn honk three times",An air horn honks three times
103846,A man talks in the distance followed by several vehicles driving and accelerating,Several vehicles driving and accelerating
107356,A bleeping noise followed by a loud object in use,A loud object in use
24352,Multiple gun shots woman screaming,Multiple gun shots
103569,Low scratching groaning,"A low, resonant groaning"
105557,Laughing and a motor running with birds chirping,Laughing with birds chirping
105255,Humming followed by a woman speaking and slow clicks of a sewing machine,A woman speaking and slow clicks of a sewing machine
103712,Pigeons cooing and bird wings flapping during light scrapping on a metal surface while a construction machine operates in the background,Pigeons cooing and bird wings flapping during light scrapping on a metal surface
102972,A man speaking as birds chirp in the background,Birds chirping in the background
105605,Man talking and a tapping clicking,Tapping clicking
105523,Plastic crinkling as a young girl is talking,A young girl is talking
105160,A man is talking as water is running along with tapping noises,A man is talking as tapping noises occur
104600,A man talks in the background while a vehicle engine revs as tires skid then accelerates,A vehicle engine revs as tires skid then accelerates
104938,An electronic device buzzing followed by paper tearing and then crumpling as a bell rings before a toilet flushes,Paper tearing and then crumpling as a bell rings before a toilet flushes
106357,A loud distorted belch followed by a series of burping,A series of burping
103914,"A woman speaking, followed by a child yelling",A child yelling
106762,A person snoring at a rhythmic pace,Complete silence
107209,A crowd of people talking followed by a vehicle engine revving then tires skidding,A vehicle engine revving then tires skidding
105116,A man talking while a saw is running,A saw is running
106203,Dog whimpering and barking together with rustling,Dog whimpering and barking
105315,A man speaks followed by a vehicle revving,A man speaks
105412,Person singing a long note and birds chirping,"A person singing a long, sustained vocal note"
106933,Pigeons cooing and bird wings flapping as footsteps shuffle on paper,Pigeons cooing as footsteps shuffle on paper
105008,Singing and music with faint gunshots,Singing with faint gunshots
105524,Frogs croaking and a humming with insects vocalizing,A humming with insects vocalizing
106569,A series of loud metal hammering as liquid drains down a pipe followed by a metal chain rattling,A series of loud metal hammering followed by a metal chain rattling
103859,Waves crashing onto shore followed by a man talking,Waves crashing onto shore
103272,High frequency vibrations with faint splashing,Faint splashing
107426,A man speaking as plastic is clanking followed by a door hatch opening and plastic tumbling with a vehicle engine revving in the background,A man speaking as plastic is clanking followed by a door hatch opening and plastic tumbling
104741,A goat baaing normally before and after a goat screaming,A goat baaing normally in isolation
107079,An electronic signal followed by compressed air releasing then an electronic bell playing as a train runs on tracks in the background,An electronic signal then an electronic bell playing as a train runs on tracks in the background
102895,A man speaking while water is spraying into a sink and draining,Water spraying into a sink and draining
103507,A vehicle struggling to start with some clicks and whines,A vehicle struggling to start with some repeated clicks
105211,A click occurs and then a woman speaks followed by a sewing machine stitching,A click occurs and then a woman speaks
104161,Humming of a distant jet engine passing,Ambient outdoor silence
3628,A car engine is revving while driving,A car is driving
105234,A man speaks while water slaps on a surface,A man is speaking
102757,A series of compressed air spraying as a motor hums in the background,A series of compressed air spraying
107392,"A flush occurs and suctioned water splashes and gurgles, while music plays in the background",A flush occurs and suctioned water splashes and gurgles
106345,Some cars passing by with people murmuring in the distance,Some cars passing by
103073,Several church bells ringing,Silence
104561,Police sirens going off,Silence
106034,A train emits the steam whistle sound with a hissing noise,A train emits the steam whistle sound
106025,A whistling and then an explosion and crackling,A whistling and then an explosion
106303,A man talking as a vehicle engine is running and wind is blowing into a microphone,A man talking as wind is blowing into a microphone
103948,Rubbing occurs while the electric motor runs,A repetitive mechanical rubbing persists
106902,A metal clack followed by a horse neighing as gusts of wind blow and birds chirp in the background,A metal clack followed by a horse neighing as gusts of wind blow
106972,"A blaring siren from a vehicle passes by, then echoes and fades into the distance",A blaring siren from a vehicle passes by and fades into the distance
107189,A man snoring with children speaking in the distance and a woman speaking nearby,A man snoring with children speaking in the distance
106055,Male speech and then a burp,Male speech
105292,High pitches squealing and a horn blowing with constant humming of an engine,A horn blowing with constant humming of an engine
104045,A girl speaks with some rustling of grass and a distant bird chirping,A girl speaks with a distant bird chirping
